description,amount
"Debit Card Purchase, SHOPPERS DRUG M",3.39
"Debit Card Purchase, SHOPPERS DRUG M",20.00
"Debit Card Purchase, TONDOU RAMEN HA",24.30
"Debit Card Purchase, NATIONS FRESH F",120.68
"Debit Card Purchase, ONLINE PURCHASE 40CT2024,
HUNGRYPANDA TECH LTD. BC",15.81
"Debit Card Purchase, ONLINE PURCHASE 50CT2024,
LYFT CANCEL FEE BC",5.65
"Debit Card Purchase, STARBUCKS COFFE",12.32
"Debit Card Purchase, PRES/5FC7P4GST5",3.50
"Debit Card Purchase, WEI XIANG YUAN",24.60
"Debit Card Purchase, YOGURTYS FROYO",7.18
"Debit Card Purchase, PENTA Q ESPORTS",4.51
"Debit Card Purchase, RECURRING PYMNT 70CT2024,
UBER CANADA/UBERONE ON",11.29
"Debit Card Purchase, PENTA Q ESPORTS",15.60
"Debit Card Purchase, BAB KOREAN REST",46.27
"Debit Card Purchase, SHOPPERS DRUG M",3.94
"Debit Card Purchase, SH VENDING80036",0.50
"Debit Card Purchase, SH VENDING80036",0.50
"Debit Card Purchase, SH VENDING80036",0.50
"Debit Card Purchase, HARU SHABU SHAB",56.28
"Debit Card Purchase, SHOPPERS DRUG M",11.60
"Debit Card Purchase, PENTA Q ESPORTS",14.90
"Debit Card Purchase, RECURRING PYMΝΤ
110CT2024, ΟΡΕΝΑΙ CHATGPT SUBSC CA,
22.60X1.411504424",31.90
"Debit Card Purchase, THE ARCH NOODLE",11.84
"Debit Card Purchase, BILL'S BAIT T",28.20
"Debit Card Purchase, BILL'S BAIT T",51.39
"Debit Card Purchase, PIZZA PIZZA # 1",21.39
"Debit Card Purchase, NATIONS FRESH F",56.61
"Debit Card Purchase, VIDA LA PITA",5.50
"Debit Card Purchase, PENTA Q ESPORTS",50.00
"Debit Card Purchase, ONLINE PURCHASE
120CT2024, RIOT AN43VC4GVLYY CA",54.23
"Debit Card Purchase, PENTA Q ESPORTS",10.00
"Online Transfer, TF 0006#8878-223",500.00
"Debit Card Purchase, MAIN BILLIARDS",51.25
"Debit Card Purchase, VIDA LA PITA",8.50
"Debit Card Purchase, NATIONS FRESH F",36.44
"Debit Card Purchase, ONLINE PURCHASE
140CT2024, LYFT CANCEL FEE BC",5.65
"Debit Card Purchase, ONLINE PURCHASE
140CT2024, LYFT 2 RIDES 10-13 BC",19.71
"Debit Card Purchase, HAPPY LAMB Hот",44.17
"Debit Card Purchase, UNIQLO CANADA P",225.67
"Online Transfer, TF 0006#8878-223",500.00
"Debit Card Purchase, SHOPPERS DRUG M",35.22
"Debit Card Purchase, PRES/5FDPP8S6BL",3.50
"Debit Card Purchase, PRES/5F50F99WQX",3.50
"Debit Card Purchase, THE ARCH NOODLE",19.75
"Debit Card Purchase, ONLINE PURCHASE
170CT2024, LYFT 1 RIDE 10-16 BC",7.99
"Debit Card Purchase, QUIK CHIK",15.26
"Debit Card Purchase, SHOPPERS DRUG M",7.89
"Debit Card Purchase, PENTA Q ESPORTS",14.90
"Debit Card Purchase, THE ARCH NOODLE",18.05
"Debit Card Purchase, MR. GAO RESTAUR",30.02
"Debit Card Purchase, BOARDWALK BURGE",17.50
"Debit Card Purchase, QUIK CHIK",9.04
"Debit Card Purchase, ONLINE PURCHASE
210CT2024, HUNGRYPANDA TECH LTD. BC",18.28
"Debit Card Purchase, RECURRING PYΜΝΤ
210CT2024, FIDO MOBILE 826 ON",50.85
"Debit Card Purchase, CHICHOP X NORI",13.27
"Debit Card Purchase, COCO FRESH TEA",7.12
"Debit Card Purchase, THE ARCH NOODLE",16.94
"Debit Card Purchase, THE ARCH NOODLE",9.59
"Debit Card Purchase, THE ARCH NOODLE",16.94
"Debit Card Purchase, SUBWAY 13152",9.59
"Debit Card Purchase, SUBWAY 13152",4.19
"Debit Card Purchase, YOGURTYS FROYO",6.49
"Debit Card Purchase, BOSTON PIZZA #5",32.52
"Debit Card Purchase, THE ARCH NOODLE",15.80
"Debit Card Purchase, SHOPPERS DRUG M",10.72
"Debit Card Purchase, BAB KOREAN REST",16.89
"Debit Card Purchase, SUBWAY 13152",10.71
"Debit Card Purchase, CHICHOP X NORI",5.37
"Debit Card Purchase, COCO FRESH TEA",5.99
"Debit Card Purchase, SHOPPERS DRUG M",2.69
"Debit Card Purchase, RECURRING PYMNT
260CT2024, FANTUAN DELIVERY BC",11.29
"Debit Card Purchase, ONLINE PURCHASE
260CT2024, HUNGRYPANDA TECH LTD. BC",19.76
"Debit Card Purchase, ONLINE PURCHASE
270CT2024, AMAZON ZI8U91PE3 BC",32.18
"Debit Card Purchase, BOARDWALK BURGE",16.94
"Debit Card Purchase, ONLINE PURCHASE
28OCT2024, HUNGRYPANDA TECH LTD. BC",20.66
"Debit Card Purchase, SUBWAY 13152",14.61
"Debit Card Purchase, CHICHOP X NORI",18.65
"Debit Card Purchase, COCO FRESH TEA",7.34
"Online Transfer, TF 0006#8878-223",200.00
"Debit Card Purchase, STARBUCKS COFFE",8.18
"Debit Card Purchase, ONLINE PURCHASE
290CT2024, HUNGRYPANDA TECH LTD. BC",34.47
"Debit Card Purchase, ESSO CIRCLE K",6.77
"Debit Card Purchase, BAB KOREAN REST",16.89
"Debit Card Purchase, GRAND LEISURE K",71.68
"Debit Card Purchase, PRES/5FGHM7KMG5",3.50
"Online Transfer, TF 0006#8878-223",49.04
"Debit Card Purchase, THE ARCH NOODLE",9.59
"Debit Card Purchase, NATIONS FRESH F",81.50
"Debit Card Purchase, SHOPPERS DRUG M",3.38
"Debit Card Purchase, SUBWAY 13152",17.56
"Wire Payment Fee, HANDLING CHG 353086",16.00
"Debit Card Purchase, THE ARCH NOODLE",14.68
"Debit Card Purchase, SHOPPERS DRUG M",7.21
"Debit Card Purchase, ONLINE PURCHASE 1NOV2024,
LYFT 1 RIDE 10-31 BC",8.99
"Debit Card Purchase, ONLINE PURCHASE 2NOV2024,
HUNGRYPANDA TECH LTD. BC",22.03
"Debit Card Purchase, ONLINE PURCHASE 1NOV2024,
HUNGRYPANDA TECH LTD. BC",20.66
"Debit Card Purchase, MSU- ACCOUNTING",5.00
"Debit Card Purchase, BOARDWALK BURGE",21.79
