description,amount
INTERAC e-Transfer Sent,73.00
"Debit Card Purchase, ESSO CIRCLE K",6.77
"Debit Card Purchase, NATIONS FRESH F",8.94
"Debit Card Purchase, SHOPPERS DRUG M",2.81
INTERAC e-Transfer Sent,40.84
"Debit Card Purchase, THE ARCH NOODLE",19.19
"Debit Card Purchase, THE ARCH NOODLE",15.80
"Debit Card Purchase, NATIONS FRESH F",58.43
"Debit Card Purchase, RECURRING PYMNT 7SEP2024,
UBER CANADA/UBERONE ON",11.29
"Debit Card Purchase, ONLINE PURCHASE 6SEP2024,
HUNGRYPANDA TECH LTD. BC",15.73
"Debit Card Purchase, QUIK CHIK",11.30
"Debit Card Purchase, MAIN BILLIARDS",69.00
"Debit Card Purchase, PRES/5F73PGN9JN",3.50
"Debit Card Purchase, THE ARCH NOODLE",14.68
"Debit Card Purchase, SHOPPERS DRUG M",2.25
"Debit Card Purchase, COKE_62087767",3.75
"Debit Card Purchase, ONLINE PURCHASE
10SEP2024, LYFT 1 RIDE 09-09 BC",11.81
"Debit Card Purchase, RECURRING PYMNT
11SEP2024, ΟΡΕΝΑΙ CHATGPT SUBSC CA,
22.60X1.396017699",31.55
"Debit Card Purchase, THE ARCH NOODLE",16.94
"Debit Card Purchase, COKE_62087854",5.25
"Debit Card Purchase, ONLINE PURCHASE
11SEP2024, LYFT 1 RIDE 09-10 BC",11.78
"Debit Card Purchase, THE ARCH NOODLE",9.59
"Debit Card Purchase, NATIONS FRESH F",52.74
"Debit Card Purchase, SHOPPERS DRUG M",25.74
"Debit Card Purchase, YOGURTYS FROYO",7.86
"Debit Card Purchase, FORTINOS",27.77
"Debit Card Purchase, PITA N MORE",14.68
"Debit Card Purchase, TIM HORTONS #11",3.77
"Debit Card Purchase, KAJUN CHICKEN A",15.24
"Debit Card Purchase, THE ARCH NOODLE",23.71
"Debit Card Purchase, CHICHOP X NORI",37.86
"Debit Card Purchase, THE ARCH NOODLE",16.94
"Debit Card Purchase, YOGURTYS FROYO",6.76
"Debit Card Purchase, ONLINE PURCHASE
14SEP2024, LYFT 1 RIDE 09-13 BC",7.80
"Debit Card Purchase, RECURRING PYMΝΤ
14SEP2024, FIDO MOBILE 826 ON",81.35
"Debit Card Purchase, PENTA Q ESPORTS",10.51
"Debit Card Purchase, PENTA Q ESPORTS",8.05
"Debit Card Purchase, SHOPPERS DRUG M",14.89
"Online Transfer, TF 0006#8878-223",100.00
"Debit Card Purchase, BAB KOREAN REST",18.62
"Debit Card Purchase, ONLINE PURCHASE
18SEP2024, LYFT 1 RIDE 09-17 BC",7.99
"Online Transfer, TF 0006#8878-223",1000.00
"Debit Card Purchase, SHOPPERS DRUG M",16.78
"Debit Card Purchase, VIDA LA PITA",14.13
"Debit Card Purchase, NATIONS FRESH F",49.99
INTERAC e-Transfer Sent,36.51
"Debit Card Purchase, SHOPPERS DRUG M",2.70
"Debit Card Purchase, THE ARCH NOODLE",17.49
"Debit Card Purchase, ONLINE PURCHASE
22SEP2024, AMZN MKTP CA LM3725M7 ON",14.84
"Debit Card Purchase, ONLINE PURCHASE
21SEP2024, HUNGRYPANDA TECH LTD. BC",45.12
"Debit Card Purchase, ONLINE PURCHASE
22SEP2024, AMZN MKTP CA MR7RG6DR ON",41.04
"Debit Card Purchase, ONLINE PURCHASE
21SEP2024, UBER CANADA/UBEREATS ON",26.04
"Wire Payment Fee, HANDLING CHG 614607",16.00
"Online Transfer, TF 0006#8878-223",12000.00
"Online Bill Payment, MCMASTER ACCT",10000.00
"Debit Card Purchase, THE ARCH NOODLE",18.62
"Debit Card Purchase, SHOPPERS DRUG M",10.03
"Debit Card Purchase, ONLINE PURCHASE
24SEP2024, HUNGRYPANDA TECH LTD. BC",26.70
"Debit Card Purchase, ONLINE PURCHASE
24SEP2024, LYFT 1 RIDE 09-23 BC",11.20
"Debit Card Purchase, THE ARCH NOODLE",14.68
"Debit Card Purchase, QUIK CHIK",8.48
"Online Bill Payment, MCMASTER ACCT",10000.00
"Debit Card Purchase, BAB KOREAN REST",25.92
"Debit Card Purchase, ONLINE PURCHASE
25SEP2024, REEF EDUCATION VA,
39.54X1.388467374",54.90
"Debit Card Purchase, PRES/5F25F1FTR8",3.50
"Debit Card Purchase, TONDOU RAMEN HA",20.20
"Debit Card Purchase, NATIONS FRESH F",76.55
"Debit Card Purchase, ONLINE PURCHASE
27SEP2024, RIOT AN42ZKOVEREF CA",15.81
"Debit Card Purchase, RECURRING PYMΝΤ
26SEP2024, FANTUAN DELIVERY BC",11.29
"Debit Card Purchase, SHOPPERS DRUG M",8.17
"Debit Card Purchase, OLIVIA HAIR SHO",40.59
"Debit Card Purchase, SQ *INDONESIAN'",27.94
"Debit Card Purchase, DOLLARAMA # 357",41.84
"Debit Card Purchase, SHOPPERS DRUG M",9.36
"Debit Card Purchase, ONLINE PURCHASE
28SEP2024, LYFT 1 RIDE 09-27 BC",8.84
"Debit Card Purchase, ONLINE PURCHASE
29SEP2024, HUNGRYPANDA TECH LTD. BC",62.00
"Online Bill Payment, MCMASTER ACCT",6368.79
"Debit Card Purchase, CHICHOP X NORI",16.39
"Debit Card Purchase, COCO FRESH TEA",7.23
"Debit Card Purchase, YOGURTYS FROYO",8.20
"Debit Card Purchase, PENTA Q ESPORTS",19.26
"Debit Card Purchase, ONLINE PURCHASE 1OCT2024,
RIOT AN447VH2H2KK CA",15.81
"Debit Card Purchase, ONLINE PURCHASE 1OCT2024,
RIOT AN4MPECCF3LA CA",7.90
"Debit Card Purchase, MAC - ATHLETICS",9.98
"Debit Card Purchase, MOBIL MAIN STRE",6.76
"Debit Card Purchase, THE ARCH NOODLE",22.58
"Debit Card Purchase, PENTA Q ESPORTS",50.00
